ObjID,Name,X,Y,Z,RA,DEC,RA_d,DEC_d,FREQ,MAJ,MIN,PA,w_RA,w_DEC,w_50,w_20,w_FREQ,F_int,eF_int,F_tot,eF_tot,F_peak,S/Nmax,X1,X2,Y1,Y2,Z1,Z2,Nvoxel,Nchan,Nspatpix,Flag,X_av,Y_av,Z_av,X_cent,Y_cent,Z_cent,X_peak,Y_peak,Z_peak
998,B1738-1317,255.2,34.4,647.5,17:38:16.6,-13:17:50,264.569137,-13.297310,1419573034.713,0.168,0.1019,102.459,17.31,9.97,88763.365,119078.495,123187.053,628376.317,1903.675,265.251,0.804,0.1824,10.391,247,261,30,38,621,673,2938,53,93,y,255.3,34.5,647.8,255.2,34.4,647.5,255,34,639
1037,B1711-1043,596.5,171.6,682.6,17:11:42.9,-10:43:01,257.928612,-10.717012,1419656157.865,0.130,0.1204,15.129,18.12,16.11,168581.886,234864.649,220315.307,1096046.751,2403.929,462.666,1.015,0.1842,11.344,592,607,165,178,640,733,4685,94,135,y,596.7,171.5,681.2,596.5,171.6,682.6,595,172,715
1071,B1743-1321,192.3,30.2,723.5,17:43:12.8,-13:21:15,265.803534,-13.354275,1419753196.328,0.211,0.1298,5.023,19.00,30.38,98290.622,167294.013,142138.908,2533583.596,2977.009,1069.484,1.257,0.4024,25.153,186,201,17,43,693,753,7185,61,216,y,192.3,29.7,723.6,192.3,30.2,723.5,192,32,716
1076,B1712-1057,592.3,159.4,725.8,17:12:02.2,-10:57:00,258.009359,-10.950151,1419758528.706,0.096,0.0664,88.374,7.95,4.62,76825.918,117624.053,68700.472,68665.007,707.668,28.985,0.299,0.1020,5.425,589,595,158,161,710,739,406,30,24,y,592.3,159.4,725.4,592.3,159.4,725.8,591,159,733
1274,B1709-1210,618.9,94.8,1240.4,17:09:55.7,-12:10:17,257.481957,-12.171463,1420977632.996,1.189,0.1909,152.142,66.15,106.64,108734.298,211477.316,253481.052,44745885.079,10708.218,18888.174,4.520,1.2878,85.035,597,655,59,151,1184,1291,92961,108,2148,y,621.6,100.3,1240.2,618.9,94.8,1240.4,613,83,1237
1276,B1704-1318,682.3,34.2,1241.0,17:04:55.5,-13:18:24,256.231339,-13.306929,1420979137.901,0.070,0.0636,112.611,7.90,5.81,97042.656,112644.622,52117.600,33817.882,497.926,14.275,0.210,0.0869,5.101,680,686,32,36,1229,1251,201,23,21,y,682.3,34.2,1241.0,682.3,34.2,1241.0,681,34,1243
1277,B1710-1337,614.5,18.1,1243.4,17:10:12.5,-13:37:40,257.551986,-13.628029,1420984660.127,0.567,0.1879,171.068,30.26,47.02,130329.568,211403.864,334026.433,8094479.216,5084.545,3416.863,2.146,0.4833,28.620,603,629,5,45,1185,1326,20959,98,542,y,614.9,19.3,1243.7,614.5,18.1,1243.4,613,7,1254
1279,B1727-1220,389.6,86.6,1244.2,17:27:45.1,-12:20:09,261.937938,-12.335905,1420986718.238,0.077,0.0667,121.464,4.59,4.53,90591.576,1003307.747,54486.581,54118.846,532.636,22.845,0.225,0.1165,6.544,388,391,85,88,1233,1256,230,24,14,y,389.6,86.5,1244.5,389.6,86.6,1244.2,389,86,1237
1280,B1737-1152,264.6,109.2,1244.6,17:37:27.2,-11:52:51,264.363535,-11.880991,1420987512.044,0.094,0.0639,29.083,5.79,5.61,69303.706,1032849.025,49748.618,63679.216,585.584,26.880,0.247,0.1222,6.952,263,267,107,111,1235,1256,278,22,19,y,264.6,109.1,1244.4,264.6,109.2,1244.6,265,109,1245
1284,B1652-1107,842.2,145.9,1246.9,16:52:37.3,-11:07:33,253.155355,-11.125881,1420993092.974,0.149,0.1129,66.386,16.80,17.53,105161.450,137797.702,130293.999,611160.867,1858.760,257.984,0.785,0.1641,10.011,834,848,140,154,1222,1277,2801,56,128,y,842.0,145.9,1247.5,842.2,145.9,1246.9,843,146,1248
